Data for n = 3 and k ranging from 1 to 100
n = 3
3,100,Num of Dice Combos
3,1,0
3,2,0
3,3,1
3,4,1
3,5,2
3,6,3
3,7,4
3,8,5
3,9,7
3,10,8
3,11,10
3,12,12
3,13,14
3,14,16
3,15,19
3,16,21
3,17,24
3,18,27
3,19,30
3,20,33
3,21,37
3,22,40
3,23,44
3,24,48
3,25,52
3,26,56
3,27,61
3,28,65
3,29,70
3,30,75
3,31,80
3,32,85
3,33,91
3,34,96
3,35,102
3,36,108
3,37,114
3,38,120
3,39,127
3,40,133
3,41,140
3,42,147
3,43,154
3,44,161
3,45,169
3,46,176
3,47,184
3,48,192
3,49,200
3,50,208
3,51,217
3,52,225
3,53,234
3,54,243
3,55,252
3,56,261
3,57,271
3,58,280
3,59,290
3,60,300
3,61,310
3,62,320
3,63,331
3,64,341
3,65,352
3,66,363
3,67,374
3,68,385
3,69,397
3,70,408
3,71,420
3,72,432
3,73,444
3,74,456
3,75,469
3,76,481
3,77,494
3,78,507
3,79,520
3,80,533
3,81,547
3,82,560
3,83,574
3,84,588
3,85,602
3,86,616
3,87,631
3,88,645
3,89,660
3,90,675
3,91,690
3,92,705
3,93,721
3,94,736
3,95,752
3,96,768
3,97,784
3,98,800
3,99,817
3,100,833
